Vivado Simulator 2020.1
Time resolution is 1 ps
Time =                  755 --> clk = 1, reset = 0
Time =                  760 --> clk = 0, reset = 0
Time =                  765 --> clk = 1, reset = 0
Time =                  770 --> clk = 0, reset = 0
Time =                  775 --> clk = 1, reset = 0
Time =                  780 --> clk = 0, reset = 0
Time =                  785 --> clk = 1, reset = 0
Time =                  790 --> clk = 0, reset = 0
Time =                  795 --> clk = 1, reset = 0
Time =                  800 --> clk = 0, reset = 0
Time =                  805 --> clk = 1, reset = 0
Time =                  810 --> clk = 0, reset = 0
Time =                  815 --> clk = 1, reset = 0
Time =                  820 --> clk = 0, reset = 0
Time =                  825 --> clk = 1, reset = 0
Time =                  830 --> clk = 0, reset = 0
Time =                  835 --> clk = 1, reset = 0
Time =                  840 --> clk = 0, reset = 0
Time =                  845 --> clk = 1, reset = 0
Time =                  850 --> clk = 0, reset = 0
Time =                  855 --> clk = 1, reset = 0
Time =                  860 --> clk = 0, reset = 0
Time =                  865 --> clk = 1, reset = 0
Time =                  870 --> clk = 0, reset = 0
Time =                  875 --> clk = 1, reset = 0
Time =                  880 --> clk = 0, reset = 0
Time =                  885 --> clk = 1, reset = 0
Time =                  890 --> clk = 0, reset = 0
Time =                  895 --> clk = 1, reset = 0
Time =                  900 --> clk = 0, reset = 0
Time =                  905 --> clk = 1, reset = 0
Time =                  910 --> clk = 0, reset = 0
Time =                  915 --> clk = 1, reset = 0
Time =                  920 --> clk = 0, reset = 0
Time =                  925 --> clk = 1, reset = 0
Time =                  930 --> clk = 0, reset = 0
Time =                  935 --> clk = 1, reset = 0
Time =                  940 --> clk = 0, reset = 0
Time =                  945 --> clk = 1, reset = 0
Time =                  950 --> clk = 0, reset = 0
Time =                  955 --> clk = 1, reset = 0
Time =                  960 --> clk = 0, reset = 0
Time =                  965 --> clk = 1, reset = 0
Time =                  970 --> clk = 0, reset = 0
Time =                  975 --> clk = 1, reset = 0
Time =                  980 --> clk = 0, reset = 0
Time =                  985 --> clk = 1, reset = 0
Time =                  990 --> clk = 0, reset = 0
Time =                  995 --> clk = 1, reset = 0
Time =                 1000 --> clk = 0, reset = 0
